No	Nama Destinasi	Klasifikasi	Kategori	Deskripsi	Tipe Aktivitas	Lintang	Bujur	Akses	Jam Buka	Rating	Link
11	Bukit Wagirsambeng	Geosite	Geologi	"Bukit Wagirsambeng merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.545181	109.656758		08.00-17.00	5.0	https://maps.app.goo.gl/DKTv2kfx9HmRwmNN6
12	Bukit Jatibungkus	Geosite	Geologi	"Bukit Jatibungkus merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.567517	109.686700		24 Jam	5.0	https://maps.app.goo.gl/UTbkScAjyxugcSrN9
13	Gunung Bujil	Geosite	Geologi	"Gunung Bujil merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.565563	109.614703		08.00-17.00	3.7	https://maps.app.goo.gl/y4HbrXrRC7nSvNhu5
14	Tebing Breksi 	Geosite	Geologi	"Tebing Breksi merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.572795	109.677360		24 Jam	4.3	https://maps.app.goo.gl/hxCq7QgpknthGFqRA
15	Formasi Penosogan	Geosite	Geologi	"Formasi Penosogan merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.577664	109.541111		08.00-17.00	4.0	https://maps.app.goo.gl/1qrx7ukjevDL9vqS7
16	Pemandian Air Panas Krakal	Geosite	Geologi	"Pemandian Air Panas Krakal merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.613682	109.699664		08.00-17.00	4.1	https://maps.app.goo.gl/pNMn7eACNBNY5y9w9
17	Curug Sindaro	Geosite	Geologi	"Curug Sindaro merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.558992	109.726275		08.30-17.00	4.4	https://maps.app.goo.gl/okXDPSsb1tM1CMsG6
18	Waduk Sempor	Geosite	Hidrologi	"Waduk Sempor merupakan waduk terbesar di Kabupaten Kebumen yang dibangun dengan membendung Sungai Jatinegara. Selain berfungsi sebagai pengendali banjir, irigasi, dan penyedia air baku, waduk ini juga menjadi objek geowisata yang menampilkan bentang alam perairan dan perbukitan di sekitarnya."	Geowisata/Edukasi	-7.565592	109.491884		24 Jam	4.5	https://maps.app.goo.gl/cCcv3KcUubUANG617
19	Bukit Kedoya Sempor	Geosite	Geologi	"Bukit Kedoya sempor merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.572050	109.484786		24 Jam	4.5	https://maps.app.goo.gl/AL9RqxUTdsR1Zr7G6
20	Curug Sudimoro	Geosite	Geologi	"Curug Sudimoro merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.528939	109.527805		08.00-17.00	4.3	https://maps.app.goo.gl/qDcXZjf1hQXYTX8A7
21	Mata Air Banyumudal	Geosite	Geologi	"Mata Air Banyumudal merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.644461	109.474965		08.00-17.00	4.0	https://maps.app.goo.gl/s2WHqpvU4dnVPsXR7
22	Goa Jatijajar	Geosite	Geologi	"Goa Jatijajar merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.669244	109.425447		08.00-17.00	4.3	https://maps.app.goo.gl/orDRjUeKVQL2Md5X6
23	Goa Barat	Geosite	Geologi	"Goa Barat merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.666200	109.435600		06.00-17.00	4.5	https://maps.app.goo.gl/X4VmAWb81DuVgJqu7
24	Goa Petruk	Geosite	Geologi	"Goa Petruk merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.704100	109.398000		08.00-17.00	4.6	https://maps.app.goo.gl/8r5e7PFJFFq2WXgm8
25	Curug Gumawang	Geosite	Geologi	"Curug Gumawang merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.698900	109.404400		08.00-17.00	4.3	https://maps.app.goo.gl/aJnWozAB5qzpkvhQ7
26	Pantai Karangagung	Geosite	Geologi	"Pantai Karangagung merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.739000	109.390000		08.00-17.00	4.3	https://maps.app.goo.gl/8BFHQehHokJuUiHC9
27	Pantai Sawangan & Goa Surupan	Geosite	Geologi	"Pantai Sawangan & Goa Surupan merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.757500	109.397100		08.00-18.00	4.5	https://maps.app.goo.gl/ToNzjsXVBXMuJPah7
28	Pantai Menganti	Geosite	Geologi	"Pantai Menganti merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.757600	109.397200		24 Jam	4.7	https://maps.app.goo.gl/ufui8rxnmjnvJ3q9A
29	Pantai Pecaron	Geosite	Geologi	"Pantai Pecaron merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.770479	109.420052		08.00-17.00	4.6	https://maps.app.goo.gl/8veWBrqW39wq8yZm6
30	Pantai Surumanis	Geosite	Geologi	"Pantai Surumanis merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.771908	109.432217		08.00-17.00	4.7	https://maps.app.goo.gl/sHs6donxSycWbC4d7
31	Pantai Watubale	Geosite	Geologi	"Pantai Watubale merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.766200	109.441200		08.00-17.00	4.3	https://maps.app.goo.gl/ggSmWDNYbgG6REtM7
32	Pantai Karangbolong	Geosite	Geologi	"Pantai Karangbolong merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.758700	109.468100		08.00-17.00	4.2	https://maps.app.goo.gl/yLNz5vGiaD64GatD7
33	Goa Simbar	Geosite	Geologi	"Goa Simbar merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.694000	109.476500		08.00-17.00	4.3	https://maps.app.goo.gl/e4ecrswm4MWV9RRK7
34	Mata Air Langen Ujung	Geosite	Geologi	"Mata Air Langen Ujung merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.686300	109.485500		08.00-17.00	4.4	https://maps.app.goo.gl/LCV3rVHQQ2GkpTrp9
35	Situs Warisan Alam Pager Jawa	Biosite	Keanekaragaman Hayati	Situs biodiversitas Geopark Kebumen	Ekowisata	-7.5141306	109.6272882		08.00-17.00	3.8	https://maps.app.goo.gl/S2FBmRqqWpw6Wnax5
36	Hutan Mangrove Ayah	Biosite	Keanekaragaman Hayati	Situs biodiversitas Geopark Kebumen	Ekowisata	-7.7201555	109.3895505		08.00-17.00	4.2	https://maps.app.goo.gl/S1EHaC1iNTGrhtbd8
37	Lebah Klanceng Kalipoh	Biosite	Keanekaragaman Hayati	Situs biodiversitas Geopark Kebumen	Ekowisata	-7.7079971	109.4057252		08.00-17.00	5	https://maps.app.goo.gl/v12EGTNiwbNU8h4x8
38	Benteng Van Der Wijck	Cultural Site	Budaya Berwujud	Warisan budaya berwujud	Wisata budaya	-7.5993356	109.5150112		08.00-17.00	4.3	https://maps.app.goo.gl/W3XwgbHfQ7m2AuME7
39	Batu Kalbut 	Cultural Site	Budaya Berwujud	Warisan budaya berwujud	Wisata budaya	-7.718591	109.3939906		08.00-17.00	4.6	https://maps.app.goo.gl/HxYK4CeEpbAKYJ6E9
40	Masjid Saka Tunggal Sempor	Cultural Site	Budaya Berwujud	Warisan budaya berwujud	Wisata budaya	-7.5869491	109.5167395		08.00-17.00	4.6	https://maps.app.goo.gl/9m32HpMSbSnuaAGD9
41	Terowongan Ijo Rowokele	Cultural Site	Budaya Berwujud	Warisan budaya berwujud	Wisata budaya	-7.6145903	109.447323		08.00-17.00	4.6	https://maps.app.goo.gl/jeS6CqbxJVWzjsUa6
42	Kerajinan Gerabah Gebangsari	Cultural Site	Kerajinan Tradisional	"Kerajinan gerabah berbahan dasar tanah liat yang diproduksi secara tradisional dan diwariskan turun-temurun oleh masyarakat Desa Gebangsari. Produk yang dihasilkan meliputi pot bunga, guci, kendi, padasan, peralatan dapur tradisional, serta berbagai hiasan rumah. Gerabah Gebangsari memiliki ciri khas tekstur yang relatif kasar namun kuat dan tahan lama."	Kerajinan Tradisional	-7.7515047	109.615886		08.00-17.00	4.8	https://maps.app.goo.gl/PaSH2nf1Z4qW3ms59
43	Kampung Tudung Grujugan	Cultural Site	Kerajinan Tradisional dan Wisata Kreatif	"Kampung Tudung Grujugan merupakan sentra kerajinan anyaman bambu yang dikenal sebagai penghasil tudung atau caping tradisional. Masyarakat setempat secara turun-temurun memproduksi tudung, besek, kipas, dan berbagai kerajinan bambu lainnya. Kawasan ini juga dikembangkan sebagai desa wisata berbasis budaya dan edukasi kerajinan."	Kerajinan Tradisional dan Wisata Kreatif	-7.7181787	109.6046043		08.00-17.00	4.7	https://maps.app.goo.gl/MrGpbS4rTidKM5M6A
44	Pantai Suwuk	Geosite	Geologi	"Pantai Suwuk merupakan kawasan pesisir selatan Kebumen yang memiliki nilai geologi, edukasi, dan geowisata. Lokasi ini menampilkan bentang alam pantai, proses abrasi dan sedimentasi pantai, serta interaksi antara sistem laut dan daratan yang penting untuk pembelajaran geomorfologi pesisir."	"Geowisata, Edukasi Geologi, Fotografi Lanskap, Rekreasi Pantai"	-7.760660	109.485217		08.00-17.00	4.3	https://maps.app.goo.gl/zUvP4f1SRTVZ139Q6
45	Pantai Petanahan	Geosite	Geologi	"Pantai Petanahan merupakan geosite pesisir yang memperlihatkan dinamika pantai selatan Jawa. Kawasan ini dapat digunakan untuk mengamati proses gelombang, transport sedimen, dan perubahan garis pantai sehingga memiliki nilai edukasi dan geowisata."	"Geowisata, Edukasi Geomorfologi Pesisir, Rekreasi Pantai, Fotografi"	-7.774411	109.580837		08.00-17.00	4.2	https://maps.app.goo.gl/ccH7tAg3LDy44rHN6
46	Curug Silancur	Geosite	Geologi	"Curug Silancur merupakan objek geowisata berupa air terjun yang terbentuk akibat proses geomorfologi fluvial. Lokasi ini memiliki nilai edukasi dalam mempelajari erosi, pelapukan batuan, dan perkembangan bentuklahan sungai."	"Geowisata, Edukasi Geomorfologi Fluvial, Trekking, Fotografi Alam"	-7.550488	109.729944		07.00-18.00	4.4	https://maps.app.goo.gl/Ys53MzzDNLvtg8K87
47	Bukit Pentulu Indah	Geosite	Geologi	"Bukit Pentulu Indah merupakan kawasan perbukitan yang menampilkan panorama bentang alam Kebumen. Lokasi ini memiliki nilai geologi dan geowisata karena memungkinkan pengamatan morfologi perbukitan, struktur geologi, dan perkembangan lanskap regional."	"Geowisata, Pengamatan Bentang Alam, Fotografi, Trekking"	-7.541376	109.669922		08.00-17.00	4.3	https://maps.app.goo.gl/aGXwFCxUhPjizBWA6
48	Bukit Hud	Geosite	Geologi	Bukit Hud merupakan kawasan perbukitan yang memiliki potensi geowisata dan edukasi geologi. Dari lokasi ini dapat diamati bentuklahan perbukitan serta hubungan antara kondisi geologi dan geomorfologi wilayah Kebumen.	"Geowisata, Trekking, Pengamatan Morfologi, Fotografi"	-7.759921	109.462872		08.00-17.00	4.8	https://maps.app.goo.gl/HxPWXg3vq3aSSnubA
49	Goa Celeng	Geosite	Geologi	"Goa Celeng merupakan gua alam yang berkembang pada kawasan batuan karbonat. Lokasi ini memperlihatkan proses karstifikasi, pembentukan lorong gua, serta fitur-fitur speleologi yang bernilai untuk edukasi dan konservasi geologi."	"Edukasi Karst, Penelitian Geologi, Susur Gua (Caving), Geowisata"	-7.773775	109.434435		08.00-17.00	3.5	https://maps.app.goo.gl/svR54SeMR2hVjgiJ8
50	Air Terjun Kalicurug	Geosite	Geologi	Air terjun di Karangsambung yang dapat digunakan untuk kajian geomorfologi fluvial dan erosi sungai	Geowisata dan Edukasi Geologi	-7.586174	109.718018		08.00-17.00	4.4	https://maps.app.goo.gl/kKtCBJYU91CtK34H7
51	Gunung Brujul	Geosite	Geologi	"Gunung Brujul merupakan salah satu geosite di kawasan Geopark Kebumen yang berada di wilayah Karangsambung. Bukit ini memiliki nilai geologi penting karena memperlihatkan bentang alam perbukitan struktural dan sejarah perkembangan geologi kawasan Karangsambung yang dikenal sebagai laboratorium alam geologi Indonesia. Lokasi ini juga dimanfaatkan untuk kegiatan edukasi, penelitian, dan geowisata"	Geowisata	-7.573041	109.661666		08.00-17.00	4.8	https://maps.app.goo.gl/K6ZdPSXNGLSqnXfS9
52	Goa Jatijajar	Geosite	Geologi	"Goa Jatijajar merupakan gua kapur alami yang berada di Desa Jatijajar, Kecamatan Ayah, Kabupaten Kebumen. Gua ini terbentuk pada kawasan karst dan memiliki panjang sekitar 250 meter dengan berbagai ornamen gua seperti stalaktit, stalagmit, dan pilar kapur. Selain memiliki nilai geologi yang tinggi, Goa Jatijajar juga mengandung nilai sejarah dan budaya melalui diorama legenda Raden Kamandaka (Lutung Kasarung), sehingga menjadi salah satu geosite penting di Geopark Kebumen."	Geowisata	-7.669237	109.425444		08.00-17.00	4.3	https://maps.app.goo.gl/iJnA6MH7CTmj1pcv5
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
